"Date","sulfate","nitrate","ID"
"2001-10-16",0.77,0.156,3
"2001-10-28",2.26,0.812,3
"2001-11-09",7.22,2.35,3
"2001-11-15",4.06,1.1,3
"2001-11-21",1.38,1.17,3
"2001-12-09",5.22,3.76,3
"2001-12-21",0.859,0.431,3
"2001-12-27",0.887,1.08,3
"2002-01-02",3.92,3.97,3
"2002-01-14",1.49,0.374,3
"2002-01-20",5.56,0.809,3
"2002-01-26",2,1.12,3
"2002-02-01",2.14,0.719,3
"2002-02-07",2.95,0.46,3
"2002-02-13",1.71,0.763,3
"2002-02-19",2.45,1.02,3
"2002-02-25",4.33,0.295,3
"2002-03-03",2.01,0.994,3
"2002-03-09",2.14,0.566,3
"2002-03-15",4.86,0.385,3
"2002-03-21",6.22,1.22,3
"2002-03-27",7.82,0.344,3
"2002-04-02",3.31,0.287,3
"2002-04-08",4.64,0.49,3
"2002-04-14",3.49,0.355,3
"2002-04-20",5.31,0.483,3
"2002-04-26",2.03,1.38,3
"2002-05-02",5.91,1.02,3
"2002-05-08",5.54,0.564,3
"2002-05-14",3.24,0.305,3
"2002-05-20",4.07,0.287,3
"2002-05-26",3.5,0.503,3
"2002-06-01",2.44,0.195,3
"2002-06-07",10.3,0.704,3
"2002-06-19",4.65,0.213,3
"2002-06-25",4.14,0.236,3
"2002-07-13",3.35,0.239,3
"2002-07-19",2.31,0.406,3
"2002-07-25",3.73,0.487,3
"2002-07-31",1.89,0.23,3
"2002-08-06",9.71,0.249,3
"2002-08-30",5.94,0.334,3
"2002-09-05",11.7,0.429,3
"2002-09-11",20.4,0.341,3
"2002-09-17",9.49,0.584,3
"2002-09-23",7.84,0.264,3
"2002-09-29",7.54,0.358,3
"2002-10-05",4.23,0.594,3
"2002-10-11",4.5,0.366,3
"2002-10-17",2.74,0.603,3
"2002-10-29",2.82,0.72,3
"2002-11-10",3.66,0.479,3
"2002-11-16",4.02,0.661,3
"2002-11-22",2.71,1.38,3
"2002-11-28",3.2,2.83,3
"2002-12-04",3.33,2.14,3
"2002-12-10",1.91,1.97,3
"2002-12-16",3.04,0.636,3
"2003-01-03",4.17,0.267,3
"2003-01-09",3.64,0.835,3
"2003-01-15",1.72,4.06,3
"2003-01-21",2.67,1.95,3
"2003-01-27",2.29,2.96,3
"2003-02-02",4.52,1.04,3
"2003-02-14",3.63,0.686,3
"2003-02-26",3.85,3.82,3
"2003-03-10",2.96,2.88,3
"2003-03-16",7.26,0.478,3
"2003-03-22",3.5,1.69,3
"2003-03-28",3.06,0.404,3
"2003-04-03",4.64,0.424,3
"2003-04-09",5.71,0.849,3
"2003-04-15",5.56,0.509,3
"2003-04-21",2.67,0.389,3
"2003-04-27",11.2,0.793,3
"2003-05-03",3.82,0.514,3
"2003-05-09",6.98,0.507,3
"2003-05-15",3.44,0.617,3
"2003-05-21",2.37,0.361,3
"2003-05-27",6.82,0.4,3
"2003-06-08",5.78,0.234,3
"2003-06-14",1.22,0.159,3
"2003-06-20",7.02,0.368,3
"2003-06-26",8.24,0.158,3
"2003-07-02",2.13,0.174,3
"2003-07-14",3.19,0.267,3
"2003-07-26",7.25,0.274,3
"2003-08-01",3.1,0.34,3
"2003-08-07",8.7,0.216,3
"2003-08-13",1.29,0.173,3
"2003-08-19",4.84,0.281,3
"2003-08-25",13.5,0.278,3
"2003-08-31",1.9,0.333,3
"2003-09-06",9.17,0.335,3
"2003-09-12",7.31,0.392,3
"2003-09-18",9.75,0.448,3
"2003-09-24",3.3,0.397,3
"2003-10-06",5.64,1.18,3
"2003-10-12",2.99,0.26,3
"2003-10-18",4.04,1.71,3
"2003-10-24",2.97,0.651,3
"2003-10-30",2.49,0.331,3
"2003-11-05",2.75,0.457,3
"2003-11-11",1.92,0.547,3
"2003-11-23",3.15,0.441,3
"2003-11-29",0.916,0.614,3
"2003-12-05",2.97,0.389,3
"2003-12-11",2.65,0.229,3
"2003-12-17",1.46,0.54,3
"2003-12-23",1.97,0.381,3
"2003-12-29",1.63,0.456,3
"2004-01-04",3.76,0.724,3
"2004-01-10",6.21,1.68,3
"2004-01-16",2.46,2.15,3
"2004-01-22",2.04,2.23,3
"2004-01-28",1.89,1.51,3
"2004-02-03",2.36,3.25,3
"2004-02-09",3.41,0.48,3
"2004-02-15",2.5,1.91,3
"2004-02-21",3.62,3.57,3
"2004-02-27",3.38,1.1,3
"2004-03-04",1.73,0.96,3
"2004-03-10",3.45,0.76,3
"2004-03-16",3.2,0.291,3
"2004-03-22",2.53,1.16,3
"2004-04-03",2.72,0.684,3
"2004-04-09",3.1,0.769,3
"2004-04-15",3.21,0.455,3
"2004-05-09",6.37,0.302,3
"2004-05-15",3.59,0.71,3
"2004-05-21",4.64,0.484,3
"2004-06-20",10.5,0.322,3
"2004-06-26",0.958,0.129,3
"2004-07-02",1.81,0.206,3
"2004-07-08",1.75,0.19,3
"2004-07-14",2.58,0.274,3
"2004-07-20",18,0.199,3
"2004-08-01",3.25,0.218,3
"2004-08-07",7.02,0.198,3
"2004-08-13",4.77,0.194,3
"2004-08-19",10.5,0.232,3
"2004-08-25",4.4,0.33,3
"2004-08-31",11.5,0.393,3
"2004-09-06",5.58,0.223,3
"2004-09-12",8.38,0.208,3
"2004-09-18",3.75,0.323,3
"2004-09-24",7.96,0.575,3
"2004-10-06",4.28,0.343,3
"2004-10-12",2.8,0.124,3
"2004-10-18",2.55,0.173,3
"2004-10-24",1.54,0.113,3
"2004-10-30",7.94,0.288,3
"2004-11-05",1.79,0.486,3
"2004-11-11",2.24,0.207,3
"2004-11-17",3.91,0.644,3
"2004-11-23",1.99,0.145,3
"2004-11-29",1.88,0.313,3
"2004-12-05",2.06,0.331,3
"2004-12-11",2.39,0.522,3
"2004-12-17",1.74,0.917,3
"2004-12-23",2.2,0.59,3
"2004-12-29",2.88,0.446,3
"2005-01-04",3.16,0.29,3
"2005-01-10",5.02,0.405,3
"2005-01-11",3.17,3.41,3
"2005-01-22",3.75,1.48,3
"2005-02-03",3.04,0.735,3
"2005-02-09",5.22,0.355,3
"2005-02-15",3.27,0.302,3
"2005-02-21",5.8,0.561,3
"2005-02-27",4.18,0.676,3
"2005-03-05",1.74,0.362,3
"2005-03-11",1.06,0.216,3
"2005-03-17",3.54,1.5,3
"2005-03-23",1.55,0.202,3
"2005-03-29",2.35,0.485,3
"2005-04-04",2.16,0.252,3
"2005-04-10",5.07,0.158,3
"2005-04-16",4.81,0.364,3
"2005-04-28",2.2,0.224,3
"2005-05-04",3.69,0.441,3
"2005-05-10",4.85,0.588,3
"2005-05-16",3.69,0.259,3
"2005-05-22",7.95,0.178,3
"2005-05-28",5.59,0.353,3
"2005-06-03",3.62,0.185,3
"2005-06-09",2.22,0.203,3
"2005-06-21",9.13,0.394,3
"2005-06-27",6.42,0.206,3
"2005-07-09",10.4,0.305,3
"2005-07-15",2.78,0.136,3
"2005-07-21",4.06,0.216,3
"2005-07-27",11.2,0.153,3
"2005-08-02",8.06,0.488,3
"2005-08-08",4.66,0.269,3
"2005-08-14",4.52,0.304,3
"2005-08-20",7.51,0.179,3
"2005-08-26",11.6,0.172,3
"2005-09-07",4.99,0.403,3
"2005-09-13",22.5,0.133,3
"2005-09-19",6.12,0.186,3
"2005-09-25",2.24,0.209,3
"2005-10-01",7.18,0.322,3
"2005-10-07",3.53,0.389,3
"2005-10-13",9.12,0.56,3
"2005-10-19",5.81,0.268,3
"2005-10-25",1.85,0.252,3
"2005-10-31",5.47,0.196,3
"2005-11-06",4.56,0.316,3
"2005-11-18",1.43,0.818,3
"2005-11-24",0.886,0.222,3
"2005-11-30",1.05,0.553,3
"2005-12-06",4.68,1.24,3
"2005-12-12",0.713,0.294,3
"2005-12-18",1.95,1.44,3
"2005-12-24",2.41,0.4,3
"2006-01-05",3.29,1.54,3
"2006-01-11",2.52,1.08,3
"2006-01-17",0.971,0.313,3
"2006-01-23",1.3,0.311,3
"2006-01-29",1.4,0.174,3
"2006-02-04",1.1,0.377,3
"2006-02-16",2.5,0.471,3
"2006-02-22",1.81,0.332,3
"2006-02-28",2.7,0.43,3
"2006-03-06",3.02,0.665,3
"2006-03-12",3.78,0.577,3
"2006-03-18",6,1.85,3
"2006-03-24",1.5,0.911,3
"2006-03-30",3.45,0.317,3
"2006-04-05",2.75,0.327,3
"2006-04-11",2.39,0.439,3
"2006-04-23",2.99,0.354,3
"2006-04-29",6.2,0.446,3
"2006-05-05",5.12,0.271,3
"2006-05-11",1.42,0.18,3
"2006-05-17",2.16,0.191,3
"2006-05-23",4.12,0.372,3
"2006-05-29",10.2,0.298,3
"2006-06-04",3.42,0.169,3
"2006-06-16",8.02,0.292,3
"2006-06-22",5.62,0.217,3
"2006-06-28",4.66,0.207,3
