"Date","sulfate","nitrate","ID"
"2003-10-06",7.21,0.651,1
"2003-10-12",5.99,0.428,1
"2003-10-18",4.68,1.04,1
"2003-10-24",3.47,0.363,1
"2003-10-30",2.42,0.507,1
"2003-11-11",1.43,0.474,1
"2003-11-17",2.76,0.425,1
"2003-11-23",3.41,0.964,1
"2003-11-29",1.3,0.491,1
"2003-12-05",3.15,0.669,1
"2003-12-11",2.87,0.4,1
"2003-12-23",2.27,0.715,1
"2003-12-29",2.33,0.554,1
"2004-01-04",1.84,0.803,1
"2004-01-10",7.13,0.518,1
"2004-01-22",2.05,1.4,1
"2004-01-28",2.05,0.979,1
"2004-02-03",2.58,0.632,1
"2004-02-09",3.26,0.506,1
"2004-02-21",3.54,0.671,1
"2004-02-27",4.4,0.602,1
"2004-03-04",2.04,0.815,1
"2004-03-10",4.36,1.08,1
"2004-03-16",3.46,0.351,1
"2004-03-22",2.99,0.486,1
"2004-03-28",2,0.34,1
"2004-04-21",2.42,0.531,1
"2004-05-15",2.76,0.52,1
"2004-07-08",1.48,0.186,1
"2004-07-14",3.54,0.576,1
"2004-07-20",6.63,0.118,1
"2004-07-26",10.9,0.295,1
"2004-08-01",1.63,0.372,1
"2004-08-07",5.76,0.193,1
"2004-08-13",5.52,0.173,1
"2004-08-19",12.2,0.223,1
"2004-08-25",4.98,0.227,1
"2004-08-31",4.39,0.236,1
"2004-09-06",1.65,0.479,1
"2004-09-12",4.53,0.14,1
"2004-09-18",4.3,0.203,1
"2004-09-30",15.8,0.472,1
"2004-10-06",5.44,0.665,1
"2004-10-12",3.09,0.466,1
"2004-10-18",3.61,0.372,1
"2004-10-24",4.19,0.221,1
"2004-10-30",7.37,0.59,1
"2004-11-05",2.68,0.219,1
"2004-11-17",2.21,0.568,1
"2004-11-23",1.99,0.337,1
"2004-11-29",1.78,0.739,1
"2004-12-05",2.03,1.2,1
"2004-12-11",2.11,0.429,1
"2004-12-17",1.82,0.941,1
"2004-12-23",2.37,0.57,1
"2004-12-29",3.41,1.16,1
"2005-01-10",4.96,0.537,1
"2005-01-16",2.3,0.719,1
"2005-01-22",4.67,1.77,1
"2005-01-28",2.87,1.2,1
"2005-02-03",1.53,0.46,1
"2005-02-09",1.28,0.378,1
"2005-02-21",4.17,0.553,1
"2005-02-27",2.75,0.479,1
"2005-03-05",2.83,1.61,1
"2005-03-11",1.22,0.902,1
"2005-03-17",4.19,0.993,1
"2005-03-23",1.92,0.233,1
"2005-03-29",2.55,0.215,1
"2005-04-04",2.18,0.211,1
"2005-04-10",2.93,0.286,1
"2005-04-16",2.79,0.421,1
"2005-04-22",2.74,0.409,1
"2005-04-28",2.02,0.222,1
"2005-05-04",4.73,0.285,1
"2005-05-10",5.84,0.189,1
"2005-05-16",4.64,0.204,1
"2005-05-22",4.79,0.299,1
"2005-05-28",6.65,0.276,1
"2005-06-03",2.09,0.29,1
"2005-06-15",4.85,0.266,1
"2005-06-21",7.25,0.355,1
"2005-06-27",3.22,0.205,1
"2005-07-03",3.81,0.322,1
"2005-07-09",2.85,0.331,1
"2005-07-15",1.36,0.25,1
"2005-07-21",1.85,0.177,1
"2005-07-27",13,0.178,1
"2005-08-02",2.57,0.503,1
"2005-08-08",2.68,0.191,1
"2005-08-14",5.42,0.209,1
"2005-08-20",9.52,0.193,1
"2005-08-26",7.68,0.404,1
"2005-09-01",6.65,0.226,1
"2005-09-13",19.1,0.149,1
"2005-09-19",6.04,0.188,1
"2005-09-25",2.8,0.342,1
"2005-10-01",5.52,0.382,1
"2005-10-07",1.82,0.267,1
"2005-10-19",4.88,0.363,1
"2005-10-25",2.28,0.283,1
"2005-10-31",5.51,0.446,1
"2005-11-06",2.41,0.302,1
"2005-11-18",1.63,0.559,1
"2005-11-24",1.67,0.743,1
"2005-11-30",0.959,0.312,1
"2005-12-06",2.74,1.83,1
"2005-12-12",0.613,0.326,1
"2005-12-18",2.37,1.1,1
"2005-12-24",2.24,1.8,1
"2005-12-30",2.53,1.01,1
"2006-01-05",3.5,1.61,1
"2006-02-10",2.6,1.48,1
"2006-02-16",2.7,1.03,1
"2006-02-22",3.74,0.657,1
"2006-02-28",2.64,0.577,1
"2006-03-06",4.82,1.14,1
